"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"2249","Couples avec enfant(s)","3 194","37,1","3 244","35,5","3 142","30,2","95572","saint-ouen-l-aumone"
"2250","Familles monoparentales","1 141","13,2","1 171","12,8","1 363","13,1","95572","saint-ouen-l-aumone"
"2251","Ménages d'une personne","2 991","29,0","3 012","28,9","3 831","34,8","95582","sannois"
"2252","Autres ménages sans famille","258","2,5","182","1,7","128","1,2","95582","sannois"
"2253","Couples sans enfant","2 276","22,1","2 248","21,6","2 104","19,1","95582","sannois"
"2254","Couples avec enfant(s)","3 596","34,9","3 795","36,5","3 506","31,9","95582","sannois"
"2255","Familles monoparentales","1 189","11,5","1 171","11,2","1 437","13,1","95582","sannois"
"2256","Ménages d'une personne","4 095","22,2","3 926","21,5","5 857","29,4","95585","sarcelles"
"2257","Autres ménages sans famille","694","3,8","766","4,2","603","3,0","95585","sarcelles"
"2258","Couples sans enfant","3 020","16,4","2 915","16,0","2 630","13,2","95585","sarcelles"
"2259","Couples avec enfant(s)","7 544","40,9","7 382","40,5","7 237","36,3","95585","sarcelles"
"2260","Familles monoparentales","3 093","16,8","3 255","17,8","3 600","18,1","95585","sarcelles"
"2261","Ménages d'une personne","2 725","26,9","3 022","29,4","3 460","32,0","95607","taverny"
"2262","Autres ménages sans famille","173","1,7","191","1,9","165","1,5","95607","taverny"
"2263","Couples sans enfant","2 410","23,8","2 307","22,5","2 186","20,2","95607","taverny"
"2264","Couples avec enfant(s)","3 756","37,1","3 560","34,7","3 652","33,8","95607","taverny"
"2265","Familles monoparentales","1 062","10,5","1 183","11,5","1 339","12,4","95607","taverny"
"2266","Ménages d'une personne","2 664","28,8","2 439","26,1","2 880","28,8","95680","villiers-le-bel"
"2267","Autres ménages sans famille","394","4,3","408","4,4","245","2,4","95680","villiers-le-bel"
"2268","Couples sans enfant","1 443","15,6","1 440","15,4","1 403","14,0","95680","villiers-le-bel"
"2269","Couples avec enfant(s)","3 341","36,1","3 505","37,5","3 669","36,7","95680","villiers-le-bel"
"2270","Familles monoparentales","1 405","15,2","1 552","16,6","1 800","18,0","95680","villiers-le-bel"
"2271","Ménages d'une personne","7 777","32,4","8 732","35,9","10 014","40,6","97101","les-abymes"
"2272","Autres ménages sans famille","1 086","4,5","1 085","4,5","570","2,3","97101","les-abymes"
"2273","Couples sans enfant","2 952","12,3","3 197","13,2","3 065","12,4","97101","les-abymes"
"2274","Couples avec enfant(s)","5 166","21,5","4 165","17,1","3 434","13,9","97101","les-abymes"
"2275","Familles monoparentales","7 051","29,3","7 125","29,3","7 588","30,8","97101","les-abymes"
"2276","Ménages d'une personne","3 179","27,3","3 790","29,9","4 620","33,9","97103","baie-mahault"
"2277","Autres ménages sans famille","265","2,3","379","3,0","208","1,5","97103","baie-mahault"
"2278","Couples sans enfant","1 796","15,4","1 868","14,8","2 310","16,9","97103","baie-mahault"
"2279","Couples avec enfant(s)","3 519","30,3","3 162","25,0","2 823","20,7","97103","baie-mahault"
"2280","Familles monoparentales","2 872","24,7","3 460","27,3","3 667","26,9","97103","baie-mahault"
"2281","Ménages d'une personne","4 065","35,4","4 470","36,8","5 261","40,4","97113","le-gosier"
"2282","Autres ménages sans famille","363","3,2","436","3,6","257","2,0","97113","le-gosier"
"2283","Couples sans enfant","2 111","18,4","2 351","19,4","2 466","18,9","97113","le-gosier"
"2284","Couples avec enfant(s)","2 797","24,3","2 630","21,7","2 534","19,4","97113","le-gosier"
"2285","Familles monoparentales","2 160","18,8","2 259","18,6","2 520","19,3","97113","le-gosier"
"2286","Ménages d'une personne","2 545","29,3","3 109","33,4","3 893","37,4","97117","le-moule"
"2287","Autres ménages sans famille","254","2,9","286","3,1","121","1,2","97117","le-moule"
"2288","Couples sans enfant","1 368","15,8","1 559","16,8","1 810","17,4","97117","le-moule"
"2289","Couples avec enfant(s)","2 508","28,9","2 263","24,3","2 268","21,8","97117","le-moule"
"2290","Familles monoparentales","2 005","23,1","2 089","22,4","2 314","22,2","97117","le-moule"
"2291","Ménages d'une personne","2 564","27,7","3 076","30,5","3 562","33,5","97118","petit-bourg"
"2292","Autres ménages sans famille","265","2,9","307","3,0","176","1,7","97118","petit-bourg"
"2293","Couples sans enfant","1 719","18,6","1 786","17,7","2 130","20,0","97118","petit-bourg"
"2294","Couples avec enfant(s)","2 667","28,9","2 683","26,6","2 413","22,7","97118","petit-bourg"
"2295","Familles monoparentales","2 026","21,9","2 223","22,1","2 367","22,2","97118","petit-bourg"
"2296","Ménages d'une personne","2 874","29,7","3 728","35,2","4 352","39,2","97128","sainte-anne"
"2297","Autres ménages sans famille","273","2,8","294","2,8","207","1,9","97128","sainte-anne"
"2298","Couples sans enfant","1 701","17,6","1 906","18,0","1 985","17,9","97128","sainte-anne"
"2299","Couples avec enfant(s)","2 764","28,5","2 519","23,8","2 125","19,1","97128","sainte-anne"
"2300","Familles monoparentales","2 076","21,4","2 149","20,3","2 441","22,0","97128","sainte-anne"
"2301","Ménages d'une personne","14 324","37,3","15 593","40,8","16 664","45,2","97209","fort-de-france"
"2302","Autres ménages sans famille","1 374","3,6","1 470","3,8","877","2,4","97209","fort-de-france"
"2303","Couples sans enfant","5 419","14,1","5 284","13,8","4 989","13,5","97209","fort-de-france"
"2304","Couples avec enfant(s)","6 688","17,4","5 894","15,4","4 543","12,3","97209","fort-de-france"
"2305","Familles monoparentales","10 553","27,5","10 006","26,2","9 759","26,5","97209","fort-de-france"
"2306","Ménages d'une personne","4 571","29,1","5 976","34,5","7 426","39,6","97213","le-lamentin"
"2307","Autres ménages sans famille","465","3,0","554","3,2","390","2,1","97213","le-lamentin"
"2308","Couples sans enfant","2 437","15,5","2 837","16,4","3 178","16,9","97213","le-lamentin"
"2309","Couples avec enfant(s)","3 998","25,5","3 648","21,0","3 292","17,5","97213","le-lamentin"
"2310","Familles monoparentales","4 230","26,9","4 325","24,9","4 477","23,9","97213","le-lamentin"
"2311","Ménages d'une personne","2 484","27,0","2 867","29,9","3 391","34,5","97222","le-robert"
"2312","Autres ménages sans famille","260","2,8","282","2,9","172","1,7","97222","le-robert"
"2313","Couples sans enfant","1 534","16,7","1 614","16,9","1 945","19,8","97222","le-robert"
"2314","Couples avec enfant(s)","2 598","28,2","2 385","24,9","1 999","20,3","97222","le-robert"
"2315","Familles monoparentales","2 337","25,4","2 426","25,3","2 330","23,7","97222","le-robert"
"2316","Ménages d'une personne","5 133","26,6","6 706","31,2","7 871","32,9","97302","cayenne"
"2317","Autres ménages sans famille","1 187","6,1","1 303","6,1","897","3,7","97302","cayenne"
"2318","Couples sans enfant","2 573","13,3","2 695","12,5","2 931","12,2","97302","cayenne"
"2319","Couples avec enfant(s)","4 769","24,7","4 763","22,1","4 870","20,3","97302","cayenne"
"2320","Familles monoparentales","5 658","29,3","6 050","28,1","7 367","30,8","97302","cayenne"
"2321","Ménages d'une personne","1 411","19,5","1 587","20,9","1 616","20,7","97304","kourou"
"2322","Autres ménages sans famille","361","5,0","363","4,8","203","2,6","97304","kourou"
"2323","Couples sans enfant","1 006","13,9","1 045","13,8","1 153","14,8","97304","kourou"
"2324","Couples avec enfant(s)","2 959","41,0","2 927","38,6","2 560","32,9","97304","kourou"
"2325","Familles monoparentales","1 487","20,6","1 668","22,0","2 254","29,0","97304","kourou"
"2326","Ménages d'une personne","1 552","18,3","2 019","20,0","2 599","23,2","97307","matoury"
"2327","Autres ménages sans famille","334","3,9","585","5,8","234","2,1","97307","matoury"
"2328","Couples sans enfant","1 194","14,1","1 382","13,7","1 650","14,7","97307","matoury"
"2329","Couples avec enfant(s)","3 083","36,4","3 498","34,6","3 426","30,6","97307","matoury"
"2330","Familles monoparentales","2 299","27,2","2 614","25,9","3 297","29,4","97307","matoury"
"2331","Ménages d'une personne","1 383","21,7","2 157","25,5","3 142","29,4","97309","remire-montjoly"
"2332","Autres ménages sans famille","229","3,6","390","4,6","206","1,9","97309","remire-montjoly"
"2333","Couples sans enfant","1 176","18,4","1 592","18,8","1 873","17,6","97309","remire-montjoly"
"2334","Couples avec enfant(s)","2 332","36,6","2 852","33,7","3 281","30,7","97309","remire-montjoly"
"2335","Familles monoparentales","1 258","19,7","1 464","17,3","2 168","20,3","97309","remire-montjoly"
"2336","Ménages d'une personne","1 206","14,9","1 429","15,2","2 047","19,1","97311","saint-laurent-du-maroni"
"2337","Autres ménages sans famille","894","11,1","850","9,0","322","3,0","97311","saint-laurent-du-maroni"
"2338","Couples sans enfant","702","8,7","737","7,8","883","8,2","97311","saint-laurent-du-maroni"
"2339","Couples avec enfant(s)","3 008","37,2","2 928","31,2","3 075","28,6","97311","saint-laurent-du-maroni"
"2340","Familles monoparentales","2 276","28,1","3 446","36,7","4 414","41,1","97311","saint-laurent-du-maroni"
"2341","Ménages d'une personne","2 660","21,8","2 977","24,7","3 569","28,8","97407","le-port"
"2342","Autres ménages sans famille","361","3,0","479","4,0","272","2,2","97407","le-port"
"2343","Couples sans enfant","1 403","11,5","1 455","12,0","1 630","13,2","97407","le-port"
"2344","Couples avec enfant(s)","4 102","33,6","3 460","28,7","2 854","23,0","97407","le-port"
"2345","Familles monoparentales","3 675","30,1","3 704","30,7","4 059","32,8","97407","le-port"
"2346","Ménages d'une personne","1 969","18,8","2 389","20,3","3 473","26,6","97408","la-possession"
"2347","Autres ménages sans famille","267","2,6","342","2,9","204","1,6","97408","la-possession"
"2348","Couples sans enfant","1 793","17,1","2 171","18,5","2 547","19,5","97408","la-possession"
"2349","Couples avec enfant(s)","4 457","42,6","4 351","37,0","4 233","32,4","97408","la-possession"
"2350","Familles monoparentales","1 970","18,8","2 505","21,3","2 588","19,8","97408","la-possession"
"2351","Ménages d'une personne","2 792","16,3","4 035","20,9","5 740","25,8","97409","saint-andre"
"2352","Autres ménages sans famille","467","2,7","545","2,8","335","1,5","97409","saint-andre"
"2353","Couples sans enfant","2 409","14,0","2 849","14,8","3 315","14,9","97409","saint-andre"
"2354","Couples avec enfant(s)","7 355","42,8","7 188","37,3","6 733","30,3","97409","saint-andre"
"2355","Familles monoparentales","4 149","24,2","4 649","24,1","6 083","27,4","97409","saint-andre"
"2356","Ménages d'une personne","2 273","19,6","2 965","22,3","3 650","27,7","97410","saint-benoit"
"2357","Autres ménages sans famille","294","2,5","382","2,9","252","1,9","97410","saint-benoit"
"2358","Couples sans enfant","1 681","14,5","2 031","15,3","2 327","17,7","97410","saint-benoit"
"2359","Couples avec enfant(s)","4 425","38,1","4 518","34,0","3 672","27,9","97410","saint-benoit"
"2360","Familles monoparentales","2 928","25,2","3 381","25,5","3 268","24,8","97410","saint-benoit"
"2361","Ménages d'une personne","17 506","30,7","22 178","35,7","25 538","38,5","97411","saint-denis"
"2362","Autres ménages sans famille","1 986","3,5","2 183","3,5","1 527","2,3","97411","saint-denis"
"2363","Couples sans enfant","9 850","17,3","10 429","16,8","10 962","16,5","97411","saint-denis"
"2364","Couples avec enfant(s)","15 930","28,0","14 505","23,3","13 970","21,1","97411","saint-denis"
"2365","Familles monoparentales","11 657","20,5","12 834","20,7","14 296","21,6","97411","saint-denis"
"2366","Ménages d'une personne","2 807","21,5","3 591","25,0","4 500","28,5","97412","saint-joseph"
"2367","Autres ménages sans famille","304","2,3","395","2,7","241","1,5","97412","saint-joseph"
"2368","Couples sans enfant","2 447","18,8","2 713","18,9","3 199","20,3","97412","saint-joseph"
"2369","Couples avec enfant(s)","4 970","38,1","4 966","34,6","4 614","29,3","97412","saint-joseph"
"2370","Familles monoparentales","2 514","19,3","2 691","18,7","3 218","20,4","97412","saint-joseph"
"2371","Ménages d'une personne","2 418","22,4","3 012","24,2","4 154","29,9","97413","saint-leu"
"2372","Autres ménages sans famille","276","2,6","451","3,6","334","2,4","97413","saint-leu"
"2373","Couples sans enfant","1 752","16,3","2 205","17,7","2 434","17,5","97413","saint-leu"
"2374","Couples avec enfant(s)","4 399","40,8","4 495","36,2","4 129","29,7","97413","saint-leu"
"2375","Familles monoparentales","1 931","17,9","2 269","18,3","2 832","20,4","97413","saint-leu"
"2376","Ménages d'une personne","3 224","18,8","3 942","21,3","5 169","25,5","97414","saint-louis"
"2377","Autres ménages sans famille","471","2,7","507","2,7","327","1,6","97414","saint-louis"
"2378","Couples sans enfant","2 550","14,8","2 877","15,5","3 360","16,6","97414","saint-louis"
"2379","Couples avec enfant(s)","6 951","40,5","6 683","36,1","5 932","29,3","97414","saint-louis"
"2380","Familles monoparentales","3 976","23,2","4 506","24,3","5 474","27,0","97414","saint-louis"
"2381","Ménages d'une personne","7 606","21,6","8 853","23,3","10 781","26,5","97415","saint-paul"
"2382","Autres ménages sans famille","1 163","3,3","1 314","3,5","1 023","2,5","97415","saint-paul"
"2383","Couples sans enfant","5 833","16,6","6 646","17,5","7 930","19,5","97415","saint-paul"
"2384","Couples avec enfant(s)","14 050","39,9","13 829","36,4","12 572","30,8","97415","saint-paul"
"2385","Familles monoparentales","6 536","18,6","7 372","19,4","8 452","20,7","97415","saint-paul"
"2386","Ménages d'une personne","7 591","26,1","9 056","28,1","11 292","32,9","97416","saint-pierre"
"2387","Autres ménages sans famille","925","3,2","1 143","3,5","754","2,2","97416","saint-pierre"
"2388","Couples sans enfant","4 722","16,2","5 514","17,1","5 964","17,4","97416","saint-pierre"
"2389","Couples avec enfant(s)","9 725","33,4","9 614","29,8","8 847","25,8","97416","saint-pierre"
"2390","Familles monoparentales","6 126","21,1","6 941","21,5","7 473","21,8","97416","saint-pierre"
"2391","Ménages d'une personne","1 800","18,0","2 511","21,4","3 337","25,6","97418","sainte-marie"
"2392","Autres ménages sans famille","300","3,0","333","2,8","192","1,5","97418","sainte-marie"
"2393","Couples sans enfant","1 523","15,3","2 191","18,6","2 480","19,0","97418","sainte-marie"
"2394","Couples avec enfant(s)","4 396","44,1","4 447","37,8","4 127","31,6","97418","sainte-marie"
"2395","Familles monoparentales","1 959","19,6","2 269","19,3","2 914","22,3","97418","sainte-marie"
"2396","Ménages d'une personne","1 252","17,2","1 713","21,3","2 149","23,3","97420","sainte-suzanne"
"2397","Autres ménages sans famille","195","2,7","188","2,3","166","1,8","97420","sainte-suzanne"
"2398","Couples sans enfant","1 045","14,4","1 287","16,0","1 544","16,7","97420","sainte-suzanne"
